name,arabic_name
2000 Center,ãÑßÒ 2000
Safi Trading Establishment,ãÄÓÓÉ ÕÇİí ÇáÊÌÇÑíÉ
Saae Carwash,Saae ÛÓíá ÇáÓíÇÑÇÊ
Quraish,ŞÑíÔ
Qutbah Charcoal,ŞØÈÉ İÍã
Moon Light,ÖæÁ ÇáŞãÑ
3S Shoes,ÃÍĞíÉ 3S
621 Shopping Center,621 ãÑßÒ ÊÓæŞ
A.A. Aqeel Trading Center (ATE),ãÑßÒ ÚŞíá ÇáÊÌÇÑí (ATE)
A. Ghani Hauti Couture,Ã. Ûäí åæÊí ßæÊæÑ
Abayat,ÚÈÇíÇÊ
Abayat Al-Hijhab Al-Aswad,ÚÈÇíÉ ÇáÍÌÇÈ ÇáÃÓæÏ
Abayat Al-Manae,ÚÈÇíÇÊ ÇáãäÇÚí
Abayat Al-Namer,ÚÈÇíÇÊ ÇáäãÑ
Abayat Al-Nemra,ÚÈÇíÇÊ ÇáäãÑÉ
Abayat Anmol,ÚÈÇíÇÊ Úäãæá
Abayat Remas,ÚÈÇíÇÊ ÑãÇÓ
Abdul Hamid Zainal Trading Est.,ãÄÓÓÉ ÚÈÏ ÇáÍãíÏ Òíäá ÇáÊÌÇÑíÉ
Abdul Khaliq Est.,ãÄÓÓÉ ÚÈÏ ÇáÎÇáŞ
Abdul Salam,ÚÈÏ ÇáÓáÇã
Abdullah Fauad Pharmacy,ÕíÏáíÉ ÚÈÏÇááå İÄÇÏ
Abdullah Saleh Trading Est.,ãÄÓÓÉ ÚÈÏÇááå ÕÇáÍ ÇáÊÌÇÑíÉ
Abna Al-Deera,ÃÈäÉ ÇáÏíÑÉ
Abood Ahmad Baasem,ÚÈæÏ ÃÍãÏ ÈÇÚã
Abu Al-Noor,ÃÈæ ÇáäæÑ
Abu Al-Saud Al-Ahab,ÃÈæ ÇáÓÚæÏ ÇáÃåÈ
Abu Al-Saud For Electrical Materials,ÃÈæ ÇáÓÚæÏ ááãæÇÏ ÇáßåÑÈÇÆíÉ
Abusrau,ÃÈæ ÓÑæ
ADANAN,ÃÏäÇä
Adawliah,ÚÏæáíÉ
ADCO,ÃÏßæ
Adel Al-Ghareeb,ÚÇÏá ÇáÛÑíÈ
Adnok Carwash (AD),ÃÏäæß áÛÓíá ÇáÓíÇÑÇÊ (AD)
AFI,AFI
Afrahiya Lil-Jalabiyat,ÃİÑÇÍíÉ áíá ÌáÈíÇÊ
Ahlya Remosh,ÇáÃåáíÉ ÑíãæÔ
Ahmad G. Al-Ghamdi (AGG),ÃÍãÏ Û. ÇáÛÇãÏí (AGG)
Ahmad Saad (Busaad Plastic),ÃÍãÏ ÓÚÏ (ÈæÓÚÏ ÈáÇÓÊíß)
Ahmed Libnani,ÃÍãÏ áÈäÇäí
Ahram,ÇáÃåÑÇã
Ahzia Shoes,ÃÍĞíÉ ÇåÒíÇ
Aitha S. Al-Seaari Trading,ÂíËÇÁ ÕÇáÍ ÇáÓÚíÑí ááÊÌÇÑÉ
Ajami Restaurant,ãØÚã ÚÌãí
Alam Al-Jadeed Exchange,ÚÇáã ÇáÌÏíÏ ááÕÑÇİÉ
Alam Al-Tawfeer,ÚÇáã ÇáÊæİíÑ
Alam Atha,ÚÇáã ÂËÇ
Alam Mazaya,ÚÇáã ãÒÇíÇ
ALAMCO (Malaz Brand),ÃáÇãßæ (ãÇÑßÉ ÇáãáÇÒ)
Alfanater Hospital,ãÓÊÔİì ÇáİäÇÊÑ
Alfar,ÇáİÇÑ
