id,pcid,customer_id,category_id,sub_category_id,category_name,sub_category_name
14599,Empty-1-6-1740542713158,13,5,11,Packet Trash Bag,50GP
14600,Empty-1-7-1740542713404,13,5,12,Packet Trash Bag,55GP
14601,Empty-1-9-1740542713639,13,5,14,Packet Trash Bag,70GP
14602,Empty-1-10-1740542713873,13,5,15,Packet Trash Bag,80GP
14603,Empty-1-6-1740542714109,13,5,11,Packet Trash Bag,50GP
14604,Empty-1-6-1740542714350,13,5,11,Packet Trash Bag,50GP
14605,Empty-2-13-1740542714584,13,6,18,Roll Trash Bag,10GR
14606,Empty-2-13-1740542714818,13,6,18,Roll Trash Bag,10GR
14607,Empty-3-22-1740542715052,13,7,27,T-Shirt Bag,XL-TSB
14608,B-61-8-44-1740542715286,450,12,49,Nylon Bag,Nyl#1
