name,arabic_name
2000 Center,ãÑßÒ 2000
Safi Trading Establishment,ãÄÓÓÉ ÕÇÝí ÇáÊÌÇÑíÉ
Saae Carwash,Saae ÛÓíá ÇáÓíÇÑÇÊ
Quraish,ÞÑíÔ
Qutbah Charcoal,ÞØÈÉ ÝÍã
Moon Light,ÖæÁ ÇáÞãÑ
3S Shoes,ÃÍÐíÉ 3S
621 Shopping Center,621 ãÑßÒ ÊÓæÞ
A.A. Aqeel Trading Center (ATE),ãÑßÒ ÚÞíá ÇáÊÌÇÑí (ATE)
A. Ghani Hauti Couture,Ã. Ûäí åæÊí ßæÊæÑ
Abayat,ÚÈÇíÇÊ
Abayat Al-Hijhab Al-Aswad,ÚÈÇíÉ ÇáÍÌÇÈ ÇáÃÓæÏ
Abayat Al-Manae,ÚÈÇíÇÊ ÇáãäÇÚí
Abayat Al-Namer,ÚÈÇíÇÊ ÇáäãÑ
Abayat Al-Nemra,ÚÈÇíÇÊ ÇáäãÑÉ
Abayat Anmol,ÚÈÇíÇÊ Úäãæá
Abayat Remas,ÚÈÇíÇÊ ÑãÇÓ
Abdul Hamid Zainal Trading Est.,ãÄÓÓÉ ÚÈÏ ÇáÍãíÏ Òíäá ÇáÊÌÇÑíÉ
Abdul Khaliq Est.,ãÄÓÓÉ ÚÈÏ ÇáÎÇáÞ
Abdul Salam,ÚÈÏ ÇáÓáÇã
Abdullah Fauad Pharmacy,ÕíÏáíÉ ÚÈÏÇááå ÝÄÇÏ
Abdullah Saleh Trading Est.,ãÄÓÓÉ ÚÈÏÇááå ÕÇáÍ ÇáÊÌÇÑíÉ
Abna Al-Deera,ÃÈäÉ ÇáÏíÑÉ
Abood Ahmad Baasem,ÚÈæÏ ÃÍãÏ ÈÇÚã
Abu Al-Noor,ÃÈæ ÇáäæÑ
Abu Al-Saud Al-Ahab,ÃÈæ ÇáÓÚæÏ ÇáÃåÈ
Abu Al-Saud For Electrical Materials,ÃÈæ ÇáÓÚæÏ ááãæÇÏ ÇáßåÑÈÇÆíÉ
Abusrau,ÃÈæ ÓÑæ
ADANAN,ÃÏäÇä
Adawliah,ÚÏæáíÉ
ADCO,ÃÏßæ
Adel Al-Ghareeb,ÚÇÏá ÇáÛÑíÈ
Adnok Carwash (AD),ÃÏäæß áÛÓíá ÇáÓíÇÑÇÊ (AD)
AFI,AFI
Afrahiya Lil-Jalabiyat,ÃÝÑÇÍíÉ áíá ÌáÈíÇÊ
Ahlya Remosh,ÇáÃåáíÉ ÑíãæÔ
Ahmad G. Al-Ghamdi (AGG),ÃÍãÏ Û. ÇáÛÇãÏí (AGG)
Ahmad Saad (Busaad Plastic),ÃÍãÏ ÓÚÏ (ÈæÓÚÏ ÈáÇÓÊíß)
Ahmed Libnani,ÃÍãÏ áÈäÇäí
Ahram,ÇáÃåÑÇã
Ahzia Shoes,ÃÍÐíÉ ÇåÒíÇ
Aitha S. Al-Seaari Trading,ÂíËÇÁ ÕÇáÍ ÇáÓÚíÑí ááÊÌÇÑÉ
Ajami Restaurant,ãØÚã ÚÌãí
Alam Al-Jadeed Exchange,ÚÇáã ÇáÌÏíÏ ááÕÑÇÝÉ
Alam Al-Tawfeer,ÚÇáã ÇáÊæÝíÑ
Alam Atha,ÚÇáã ÂËÇ
Alam Mazaya,ÚÇáã ãÒÇíÇ
ALAMCO (Malaz Brand),ÃáÇãßæ (ãÇÑßÉ ÇáãáÇÒ)
Alfanater Hospital,ãÓÊÔÝì ÇáÝäÇÊÑ
Alfar,ÇáÝÇÑ
Ali Fashions,ÃÒíÇÁ Úáí
Ali Saad Ali Qahtani,Úáí ÓÚÏ Úáí ÇáÞÍØÇäí
Alia Restaurant,ãØÚã ÚáíÇÁ
Alibaba Restaurant,ãØÚã Úáí ÈÇÈÇ
Alins Coffee,ÞåæÉ ÃáíäÓ
Almira Optics,ÇáãíÑÇ ááÈÕÑíÇÊ
Unamed1,Unamed1
Alukaizoom Al-Namoodiya,ÇáÚÞíÒæã ÇáäÇãæÏíÉ
Unamed2,Unamed2
Ameen Center,ãÑßÒ Ããíä
Ameri Center,ÇáãÑßÒ ÇáÚÇãÑí
Amrou Al-Atour Ferfumes,ÚãÑæ ÇáÚØæÑ Ferfumes
Annual Charity Run,ÇáÓÈÇÞ ÇáÎíÑí ÇáÓäæí
Hezaa,åÒÇÚ
Bazar,ÈÇÒÇÑ
Anwar Al-Basim Shoes,ÃÍÐíÉ ÃäæÑ ÇáÈÓã
Anwar Al-Fahad,ÃäæÑ ÇáÝåÏ
Anwar Al-Safeer,ÃäæÑ ÇáÓÝíÑ
Anowar Al-Tahany,ÃäæÇÑ ÇáØÍÇäí
Anyah,ÃäíÇ
Apex Auto Parts1,ÞØÚ ÛíÇÑ ÇáÓíÇÑÇÊ ÃÈíßÓ1
Apple,ÊÝÇÍ
Arab National Bank,ÇáÈäß ÇáÚÑÈí ÇáæØäí
Arabian Center,ÇáãÑßÒ ÇáÚÑÈí
Arabian Food Supply,ÇáÊæÑíÏ ÇáÛÐÇÆí ÇáÚÑÈí
Arabic Readymade Textiles,ÇáãäÓæÌÇÊ ÇáÚÑÈíÉ ÇáÌÇåÒÉ
Arab Trading Company,ÇáÔÑßÉ ÇáÚÑÈíÉ ááÊÌÇÑÉ
Aran,ÇÑÇä
Arif Center,ãÑßÒ ÚÇÑÝ
Armed Forces Hospital,ãÓÊÔÝì ÇáÞæÇÊ ÇáãÓáÍÉ
Arusha Restaurant,ãØÚã ÃÑæÔÇ
Asawer Al-Sharq,ÃÓÇæíÑ ÇáÔÑÞ
ASDAF,ÃÕÏÇÝ
Asef,ÂÕÝ
ASH First Shoes,ÍÐÇÁ ASH ÝíÑÓÊ
ASK Varied Foods,ÇÓÃá ÇáÃØÚãÉ ÇáãÊäæÚÉ
ASMA,ÃÓãÇÁ
Assamar Charcoal,ÝÍã ÃÓãÑ
Assel Exhibition,ãÚÑÖ ÃÓíá
Assel Textiles,ÃÓíá ááãäÓæÌÇÊ
Assorte,ãÊäæÚÉ
Astoon,ÃÓÊæä
Aswar Al-Mandi,ÃÓæÇÑ ÇáãäÏí
ATC,ATC
ATE,ÇßáÊ
Athwaq,ÃËæÇÞ
Atlantic Systems,ÃäÙãÉ ÇáÃØáÓí
Atwi Trading Est.,ãÄÓÓÉ ÚØæí ááÊÌÇÑÉ
Atyaf Dubai Center,ÃØíÇÝ ÏÈí ÓäÊÑ
Awad,ÚæÖ
Awael Ebayat (First Shoe),ÚæÇÆá ÚÈíÇÊ (ÇáÍÐÇÁ ÇáÃæá)
Awal Plastic Factory,ãÕäÚ ÃæÇá ááÈáÇÓÊíß
Awaridh Liltajmeel,ÚæÑíÏ áíáÊÇÌãíá
Awael Al-Itor,ÚÇÆá ÇáÚØæÑ
Ayshana Foods,ÚÇÆÔÇäÇ ááÃÛÐíÉ
Azizia (VMC),ÚÒíÒíÉ (VMC)
Baby Bancy,ÈíÈí ÈÇäÓí
Badariya Charcoal,ÝÍã ÇáÈÏÇÑíÉ
Badeea Charcoal,ÈÇÏíÚ ÝÍã
Badghaish,ÈÇÏÛíÔ
Bahrain Center,ãÑßÒ ÇáÈÍÑíä
Baidan Mutton Cubes,ãßÚÈÇÊ áÍã ÖÃä ÈíÏÇä
baihagi Bank Alikbar,Èäß ÇáÈíåÇÌí ÇáÅßÈÇÑ
Baith Al-Asaar,ÈíÊ ÇáÚÕÇÑ
Bakhaswain,ÈÇÎÇÓæíä
Baladi,ÈáÏí
Baowabat Al-Hayat Plaza,ÈÇæÇÈÇÊ ÇáÍíÇÉ ÈáÇÒÇ
Bar Bar Restaurant,ÈÇÑ ÈÇÑ ãØÚã
Barary Charcoal,ÝÍã ÈÇÑÇÑí
Baras Electric Corporation,ÔÑßÉ ÈÇÑÇÓ ááßåÑÈÇÁ
Bashri (B),ÈÔÑí (È)
Basim,ÈÇÓã
Basrah Restaurant,ãØÚã ÇáÈÕÑÉ
Bassam Zeena Bakhruji Trading,ÈÓÇã ÒíäÉ ÈÎÑæÌí ááÊÌÇÑÉ
Bayroni,ÈíÑæäí
Bashrawi Shopping Center,ãÑßÒ ÊÓæÞ ÈÔÑÇæí
BB2,BB2
Bayouni Trading,Èíæäí ááÊÌÇÑÉ
Aymeen Exhibition,ãÚÑÖ Ãíãíä
Abeer,ÚÈíÑ
Best Friends Toys,ÃÝÖá ÃáÚÇÈ ÇáÃÕÏÞÇÁ
Beint Al-Arab Exchange,ÈíäÊ ÇáÚÑÈ ááÕÑÇÝÉ
Beirut Tailor,ÈíÑæÊ ÎíÇØ
Beyroty,ÈíÑæÊí
Big World,ÚÇáã ßÈíÑ
Bin Afeef Center,ãÑßÒ Èä ÚÝíÝ
Bin Sabt Trading Establishment,ãÄÓÓÉ Èä ÓÈÊ ÇáÊÌÇÑíÉ
Beint Al-Arab Exhibition,ãÚÑÖ ÈíäÊ ÇáÚÑÈ
Bint Al-Khaleej,ÈäÊ ÇáÎáíÌ
Bio-Hazard,ÇáÎØÑ ÇáÍíæí
Bismi Foods,ÈÇÓãí ÝæÏÒ
B+K,È + ß
Bombay Fashion,ÃÒíÇÁ ÈæãÈÇí
Bulbul Fashions,ÃÒíÇÁ ÈáÈá
Bundoo Khan Restaurant,ãØÚã ÈäÏæ ÎÇä
Buraiki Shopping Center,ãÑßÒ ÇáÈÑíßí ááÊÓæÞ
Buy and Save,ÇáÔÑÇÁ æÇáÍÝÙ
Canary Meadows,ßäÇÑí ãíÏæÒ
Casa Grill,ßÇÒÇ ÌÑíá
Casa Juice,ÚÕíÑ ßÇÒÇ
Casual Jeans,ÌíäÒ ßÇÌæÇá
Charour Restaurant,ãØÚã ÔÇÑæÑ
Chicken Spicy,ÏÌÇÌ ÍÇÑ
Childs World,ÚÇáã ÇáÃØÝÇá
Chocolatry,ÔæßæáÇÊÉ
Chowking,ÊÔæßíäÛ
Chubs,ÊÔæÈÓ
Sinderilla Ladies Center,ãÑßÒ ÓíäÏíÑíáÇ ááÓíÏÇÊ
City Sweet,ÓíÊí ÓæíÊ
Cloth Center,ãÑßÒ ÇáÞãÇÔ
Collection,ãÌãæÚÉ
Collection Center,ãÑßÒ ÇáÊÍÕíá
Cool Jeans,ÌíäÒ ÈÇÑÏ
Corniche Shopping Center,ãÑßÒ ÊÓæÞ ÇáßæÑäíÔ
Crispy Meal,æÌÈÉ ßÑÓÈí
Crystalat,ßÑíÓÊÇá
Dahan Shopping Center,ãÑßÒ ÏåÇä ááÊÓæÞ
Dahiya Eastern Shopping Center,ãÑßÒ ÇáÖÇÍíÉ ÇáÔÑÞí ááÊÓæÞ
Daiji Shopping Center,ãÑßÒ ÏÇíÌí ááÊÓæÞ
Dammam Clothes and Shoes,ÇáÏãÇã ááãáÇÈÓ æÇáÃÍÐíÉ
Dammam Palace Hotel,ÝäÏÞ ÞÕÑ ÇáÏãÇã
Dammam Shopping Center,ãÑßÒ ÊÓæÞ ÇáÏãÇã
Damond,ÏÇãæäÏ
Al-Dana Resturant,ãØÚã ÇáÏÇäÉ
Danger,ÎØÑ
Dar Restaurant,ãØÚã ÏÇÑ
Darul Khaleej,ÏÇÑ ÇáÎáíÌ
Desert Designs,ÊÕÇãíã ÇáÕÍÑÇÁ
Desert Mall,ÏíÒÑÊ ãæá
Dharan Pharmacy,ÕíÏáíÉ ÏÇÑÇä
DH Plaza,Ïí ÅÊÔ ÈáÇÒÇ
Dinar,ÏíäÇÑ
Discount Center,ãÑßÒ ÇáÎÕã
Divakaran International Group of Companies,ãÌãæÚÉ ÔÑßÇÊ ÏíÝÇßÇÑÇä ÇáÏæáíÉ
Diafa Broasted,ÏíÇÝÇ ÈÑæÓÊÏ
